Date,Open,High,Low,Close,Volume,Market Cap
"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93,3258050000,71425500000
"Aug 14, 2017",4066.1,4325.13,3989.16,4325.13,2463090000,67112300000
"Aug 13, 2017",3880.04,4208.39,3857.8,4073.26,3159090000,64034100000
"Aug 12, 2017",3650.63,3949.92,3613.7,3884.71,2219590000,60242100000
"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62,2021190000,55668000000
"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28,1515110000,55134700000
"Aug 09, 2017",3420.4,3422.76,3247.67,3342.47,1468960000,56424900000
"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94,1752760000,55590300000
"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94,1482280000,52987300000
"Aug 06, 2017",3257.61,3293.29,3155.6,3213.94,1105030000,53720900000
"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91,1945700000,47778200000
"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89,1002120000,46276200000
"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73,804797000,44666400000
"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67,1094950000,44950800000
"Aug 01, 2017",2871.3,2921.35,2685.61,2718.26,1324670000,47321800000
